Time [s],Ch1 Current [A]
6.250000E-8,1.253671E+1
6.260000E-8,1.252186E+1
6.270000E-8,1.250774E+1
6.280000E-8,1.249432E+1
6.290000E-8,1.248162E+1
6.300000E-8,1.246963E+1
6.310000E-8,1.245835E+1
6.320000E-8,1.244776E+1
6.330000E-8,1.243788E+1
6.340000E-8,1.242869E+1
6.350000E-8,1.242018E+1
6.360000E-8,1.241236E+1
6.370000E-8,1.240521E+1
6.380000E-8,1.239873E+1
6.390000E-8,1.239291E+1
6.400000E-8,1.238775E+1
6.410000E-8,1.238323E+1
6.420000E-8,1.237935E+1
6.430000E-8,1.237610E+1
6.440000E-8,1.237347E+1
6.450000E-8,1.237145E+1
6.460000E-8,1.237003E+1
6.470000E-8,1.236919E+1
6.480000E-8,1.236894E+1
6.490000E-8,1.236926E+1
6.500000E-8,1.237013E+1
6.510000E-8,1.237154E+1
6.520000E-8,1.237349E+1
6.530000E-8,1.237595E+1
6.540000E-8,1.237893E+1
6.550000E-8,1.238239E+1
6.560000E-8,1.238634E+1
6.570000E-8,1.239075E+1
6.580000E-8,1.239561E+1
6.590000E-8,1.240091E+1
6.600000E-8,1.240663E+1
6.610000E-8,1.241275E+1
6.620000E-8,1.241927E+1
6.630000E-8,1.242616E+1
6.640000E-8,1.243341E+1
6.650000E-8,1.244100E+1
6.660000E-8,1.244892E+1
6.670000E-8,1.245714E+1
6.680000E-8,1.246566E+1
6.690000E-8,1.247445E+1
6.700000E-8,1.248350E+1
6.710000E-8,1.249278E+1
6.720000E-8,1.250229E+1
6.730000E-8,1.251201E+1
6.740000E-8,1.252191E+1
6.750000E-8,1.253198E+1
6.760000E-8,1.254220E+1
6.770000E-8,1.255255E+1
6.780000E-8,1.256303E+1
6.790000E-8,1.257360E+1
6.800000E-8,1.258425E+1
6.810000E-8,1.259496E+1
6.820000E-8,1.260572E+1
6.830000E-8,1.261651E+1
6.840000E-8,1.262731E+1
6.850000E-8,1.263811E+1
6.860000E-8,1.264888E+1
6.870000E-8,1.265962E+1
6.880000E-8,1.267031E+1
6.890000E-8,1.268093E+1
6.900000E-8,1.269147E+1
6.910000E-8,1.270192E+1
6.920000E-8,1.271225E+1
6.930000E-8,1.272246E+1
6.940000E-8,1.273252E+1
6.950000E-8,1.274244E+1
6.960000E-8,1.275219E+1
6.970000E-8,1.276177E+1
6.980000E-8,1.277116E+1
6.990000E-8,1.278035E+1
7.000000E-8,1.278932E+1
7.010000E-8,1.279808E+1
7.020000E-8,1.280660E+1
7.030000E-8,1.281488E+1
